max_err,rmse,a6,a8,a9,a10,y,L,kappa,r21,s19,imput
0.013490000000000002,0.00688843282182098,0.0,1.0,6.0,0.0,16.0,120.0,0.0,0.0,0.0,0.0
0.013549999999999951,0.006917443549408916,0.0,1.0,6.0,0.0,16.0,120.0,0.0,0.0,0.3,0.0
0.013549999999999951,0.007947152907383456,0.0,2.0,8.0,1.0,16.0,100.0,0.0,0.0,0.0,1.0
0.013550000000000006,0.007817025961891688,0.0,1.0,6.0,0.0,14.0,100.0,0.0,1.0,0.3,0.0
0.013569999999999971,0.007925016607062855,0.0,2.0,8.0,1.0,16.0,100.0,0.0,1.0,0.0,1.0
0.013589999999999991,0.007863888826877028,0.0,1.0,6.0,0.0,14.0,100.0,0.0,0.0,0.0,0.0
0.013610000000000011,0.007820392909519256,0.0,1.0,6.0,0.0,14.0,100.0,0.0,0.0,0.3,0.0
0.013719999999999954,0.007912551168870881,0.0,2.0,8.0,1.0,16.0,100.0,0.0,1.0,0.3,1.0
0.013759999999999994,0.007921555173725066,0.0,2.0,8.0,1.0,16.0,100.0,0.0,0.0,0.3,1.0
0.013800000000000034,0.00868648021885692,0.0,0.0,8.0,1.0,14.0,80.0,0.0,0.0,0.3,0.0
0.013839000000000046,0.007919272230872373,0.0,1.0,6.0,0.5,16.0,120.0,0.0,0.0,0.3,0.0
0.013839000000000046,0.007903444823244716,0.0,1.0,6.0,0.5,16.0,120.0,0.0,1.0,0.3,0.0
0.013859999999999983,0.008688017209757188,0.0,0.0,8.0,1.0,14.0,80.0,0.0,1.0,0.3,0.0
0.013859999999999983,0.009401072480189565,0.0,2.0,8.0,0.5,14.0,60.0,0.0,0.0,0.0,0.0
0.013859999999999983,0.009404091233390173,0.0,2.0,8.0,0.5,14.0,60.0,0.0,1.0,0.0,0.0
0.01386900000000002,0.007936107596156792,0.0,1.0,6.0,0.5,16.0,120.0,0.0,1.0,0.0,0.0
0.013869999999999938,0.008717232023305802,0.0,0.0,8.0,1.0,14.0,80.0,0.0,0.0,0.0,0.0
0.013878999999999975,0.007955694308225127,0.0,1.0,6.0,0.5,16.0,120.0,0.0,0.0,0.0,0.0
0.013878999999999975,0.00830795825967152,0.0,2.0,6.0,0.5,16.0,120.0,0.0,1.0,0.3,0.0
0.013898999999999995,0.00834815912730553,0.0,2.0,6.0,0.5,16.0,120.0,0.0,0.0,0.3,0.0
0.013920000000000043,0.008566963682702329,0.0,2.0,8.0,0.5,14.0,80.0,0.0,1.0,0.3,1.0
0.01392899999999997,0.008382667749147178,0.0,2.0,6.0,0.5,16.0,120.0,0.0,0.0,0.0,0.0
0.01392899999999997,0.008367450078417838,0.0,2.0,6.0,0.5,16.0,120.0,0.0,1.0,0.0,0.0
0.013970000000000038,0.008707766269681767,0.0,0.0,8.0,1.0,14.0,80.0,0.0,1.0,0.0,0.0
0.013970000000000038,0.008573720273797911,0.0,2.0,8.0,0.5,14.0,80.0,0.0,0.0,0.3,1.0
0.013979999999999992,0.009383160254965826,0.0,2.0,8.0,0.5,14.0,60.0,0.0,1.0,0.3,0.0
0.014020000000000032,0.009388925158378334,0.0,2.0,8.0,0.5,14.0,60.0,0.0,0.0,0.3,0.0
0.014070000000000027,0.008604347613378466,0.0,2.0,8.0,0.5,14.0,80.0,0.0,1.0,0.0,1.0
0.01413999999999993,0.006942303284133344,0.0,0.0,6.0,0.0,14.0,100.0,0.0,0.0,0.0,1.0
0.01413999999999993,0.0069179152875650015,0.0,0.0,6.0,0.0,14.0,100.0,0.0,1.0,0.0,1.0
0.01417999999999997,0.00861336722129556,0.0,2.0,8.0,0.5,14.0,80.0,0.0,0.0,0.0,1.0
0.014270000000000005,0.007725791873592895,0.0,1.0,8.0,0.5,14.0,80.0,0.0,0.0,0.3,1.0
0.01427999999999996,0.006924967447443197,0.0,0.0,6.0,0.0,14.0,100.0,0.0,1.0,0.3,1.0
0.01428000000000007,0.008792564918830676,0.0,1.0,8.0,0.5,14.0,60.0,0.0,1.0,0.3,0.0
0.014289999999999914,0.006936403225282059,0.0,0.0,6.0,0.0,14.0,100.0,0.0,0.0,0.3,1.0
0.01429999999999998,0.008830345243030474,0.0,1.0,8.0,0.5,14.0,60.0,0.0,0.0,0.0,0.0
0.01429999999999998,0.00772029183386223,0.0,1.0,8.0,0.5,14.0,80.0,0.0,1.0,0.3,1.0
0.014310000000000045,0.008820699271011877,0.0,1.0,8.0,0.5,14.0,60.0,0.0,1.0,0.0,0.0
0.01432,0.008923853058371546,0.0,2.0,8.0,1.0,16.0,80.0,0.0,1.0,0.0,0.0
0.014330000000000065,0.008802905080247767,0.0,1.0,8.0,0.5,14.0,60.0,0.0,0.0,0.3,0.0
0.01434000000000002,0.00892459253556855,0.0,2.0,8.0,1.0,16.0,80.0,0.0,0.0,0.0,0.0
0.014349999999999974,0.0077306965380205565,0.0,1.0,8.0,0.5,14.0,80.0,0.0,1.0,0.0,1.0
0.01436000000000004,0.007750814155562891,0.0,1.0,8.0,0.5,14.0,80.0,0.0,0.0,0.0,1.0
0.01436000000000004,0.00892418852416368,0.0,2.0,8.0,1.0,16.0,80.0,0.0,1.0,0.3,0.0
0.014390000000000014,0.008927560244877978,0.0,2.0,8.0,1.0,16.0,80.0,0.0,0.0,0.3,0.0
0.014449000000000045,0.00827161326465398,0.0,1.0,6.0,0.0,14.0,80.0,0.0,0.0,0.3,1.0
0.014499999999999957,0.006964531416531312,0.0,2.0,6.0,0.0,16.0,100.0,0.0,1.0,0.0,1.0
