maxsc,rmse,b1,b7,bs,a6,a8,a9,a10,y,L,kap,e21,e4,s19,s20,e22,bn,p2,rwc
7.12999999999997,0.009757786827850749,dol,dol,dol,0.01,0.0,0.0,0.01,0.16,0.008,0.004,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
7.133333333333325,0.009759186521199168,dol,dol,dol,0.01,0.0,0.0,0.01,0.16,0.008,0.0,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
7.146666666666671,0.010282622993654358,dol,dol,dol,0.01,0.015,0.045,0.0,0.2,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.14999999999999,0.013341969400410157,dol,dol,dol,0.0,0.015,0.045,0.03,0.26,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.151599999999991,0.011386696529364927,dol,dol,dol,0.0,0.015,0.085,0.03,0.26,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.19333333333331,0.009804329281835987,dol,dol,dol,0.01,0.0,0.0,0.01,0.16,0.003,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
7.19333333333331,0.009802002104634493,dol,dol,dol,0.01,0.0,0.0,0.01,0.16,0.003,0.0,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
7.19333333333331,0.009804329281835987,dol,dol,dol,0.01,0.0,0.0,0.01,0.16,0.003,0.004,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
7.19333333333331,0.009802002104634493,dol,dol,dol,0.01,0.0,0.0,0.01,0.16,0.003,0.004,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
7.199999999999984,0.011991152605767918,dol,sqrt,dol,0.01,0.0,0.0,0.01,0.12,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.207600000000003,0.011819065924739278,dol,dol,dol,0.01,0.0,0.045,0.01,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.223333333333322,0.009828249160229677,dol,dol,dol,0.01,0.0,0.0,0.01,0.16,0.0,0.0,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
7.223333333333322,0.009828249160229677,dol,dol,dol,0.01,0.0,0.0,0.01,0.16,0.0,0.004,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
7.236666666666669,0.009833045197285105,dol,dol,dol,0.01,0.0,0.0,0.01,0.16,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
7.236666666666669,0.009833045197285105,dol,dol,dol,0.01,0.0,0.0,0.01,0.16,0.0,0.004,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
7.263333333333325,0.011015768532897294,dol,sqrt,rank,0.01,0.0,0.14,0.0,0.12,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.27999999999999,0.009824238095045755,dol,dol,dol,0.01,0.0,0.0,0.01,0.16,0.0,0.0,0.0,0.0,0.0,1.0,-300.0,0.011,0.0,0.0
7.27999999999999,0.009824238095045755,dol,dol,dol,0.01,0.0,0.0,0.01,0.16,0.0,0.004,0.0,0.0,0.0,1.0,-300.0,0.011,0.0,0.0
7.283333333333308,0.00982702310148077,dol,dol,dol,0.01,0.0,0.0,0.01,0.16,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.011,0.0,0.0
7.283333333333308,0.00982702310148077,dol,dol,dol,0.01,0.0,0.0,0.01,0.16,0.0,0.004,0.0,0.0,0.0,0.0,-300.0,0.011,0.0,0.0
7.319600000000026,0.011850666744799477,dol,dol,dol,0.0,0.015,0.085,0.03,0.2,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3475999999999875,0.011867792771162573,dol,dol,dol,-0.01,0.0,0.085,0.03,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.349999999999968,0.011531872068636864,dol,dol,dol,0.0,0.0,0.085,0.01,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3733333333333055,0.010926586166742963,dol,dol,dol,0.01,0.0,0.0,0.01,0.2,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.375599999999993,0.009546199286355509,dol,dol,dol,0.0,0.0,0.085,0.0,0.16,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.380000000000016,0.012169776500580196,dol,dol,dol,0.01,0.0,0.045,0.0,0.2,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.390000000000008,0.012063869691186406,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.008,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3933333333333255,0.012068778363412963,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.403333333333317,0.010323750865161622,dol,sqrt,dol,0.0,0.0,0.045,0.01,0.12,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.403333333333354,0.01208757464567705,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.008,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.403333333333354,0.01208757464567705,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.008,0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.420000000000019,0.011855119009977952,dol,dol,dol,0.01,0.015,0.045,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.435599999999987,0.009628320268104132,dol,dol,dol,0.0,0.0,0.085,0.01,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.440000000000002,0.015656329192303583,dol,dol,dol,-0.01,0.015,0.085,0.03,0.16,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.446666666666638,0.013342145229809678,dol,dol,dol,0.01,0.0,0.0,0.0,0.16,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
