ts,team_id,rank,score,team,org,finish_time
2026-07-05 12:29,54598332,68,0.9224,yessir,"Indian Institute of Management (IIM), Kozhikode",2026-07-05 02:45:59+05:30
2026-07-05 12:29,54648077,69,0.922129,shivam1308sah,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 02:29:19+05:30
2026-07-05 12:29,54823430,70,0.922071,The Heros,"Indian Institute of Technology (IIT), Delhi",2026-07-05 02:13:42+05:30
2026-07-05 12:29,54697345,75,0.921243,simba,"Narsee Monjee Institute of Management Studies (NMIMS), Mumba",2026-07-05 02:01:15+05:30
2026-07-05 12:29,54828053,76,0.921214,kritanshuppal.bt24cse,"Delhi School of Economics (DSE), New Delhi",2026-07-05 05:44:48+05:30
2026-07-05 12:29,54763549,79,0.920886,DRAMA CLUB,"Indian Institute of Technology (IIT), Kharagpur",2026-07-05 11:31:26+05:30
2026-07-05 12:29,54379011,80,0.9205,BlackDogCommandos,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 23:41:21+05:30
2026-07-05 12:29,54034831,83,0.919657,Amex,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 23:40:48+05:30
2026-07-05 12:45,54411441,41,0.926943,Thinkers,"Indian Institute of Technology (IIT), Guwahati",2026-07-05 12:17:16+05:30
2026-07-05 12:45,54825533,49,0.925843,strat_amex,"Department of Management Studies (DoMS), Indian Institute of",2026-07-05 12:33:16+05:30
2026-07-05 12:45,54535356,58,0.924886,lesgoo,"Indian Institute of Technology (IIT), Roorkee",2026-07-05 12:24:26+05:30
2026-07-05 12:45,54151527,63,0.924329,Hustlers,"Indian Institute of Technology (IIT), Hyderabad",2026-07-05 12:31:05+05:30
2026-07-05 12:45,54817986,77,0.9218,shrirangpatel2006,"Indian Institute of Technology (IIT), Kharagpur",2026-07-05 12:22:32+05:30
2026-07-05 13:00,54825533,43,0.926729,strat_amex,"Department of Management Studies (DoMS), Indian Institute of",2026-07-05 12:57:35+05:30
2026-07-05 13:00,54535356,55,0.925214,lesgoo,"Indian Institute of Technology (IIT), Roorkee",2026-07-05 12:46:52+05:30
2026-07-05 13:15,54810573,8,0.930743,Gamma,"Indian Institute of Technology (IIT), Madras",2026-07-05 13:06:57+05:30
2026-07-05 13:15,54825533,35,0.927857,strat_amex,"Department of Management Studies (DoMS), Indian Institute of",2026-07-05 13:07:03+05:30
2026-07-05 13:31,54806202,10,0.9306,jeshwanthsreeram,"Indian Institute of Technology (IIT), Guwahati",2026-07-05 13:20:03+05:30
2026-07-05 13:31,54597579,22,0.928729,VISHU24,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 13:28:29+05:30
2026-07-05 13:46,54600408,19,0.9292,abhijitjagtap2805,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 13:41:29+05:30
2026-07-05 13:46,54034831,56,0.925414,Amex,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-05 13:31:29+05:30
2026-07-05 14:01,54305187,32,0.928329,LameX,"Indian Institute of Technology, Banaras Hindu University (II",2026-07-05 13:52:15+05:30
2026-07-05 14:46,54600408,2,0.934657,SLA24,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 14:44:16+05:30
2026-07-05 14:46,54863738,9,0.930757,b25058,Xavier School of Management (XLRI),2026-07-05 14:41:48+05:30
2026-07-05 14:46,54862510,72,0.922986,skibidee,"Indian Institute of Management (IIM), Kozhikode",2026-07-05 14:42:19+05:30
2026-07-05 15:01,54621887,39,0.927929,VNN,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 14:55:01+05:30
2026-07-05 15:01,54862510,66,0.924514,skibidee,"Indian Institute of Management (IIM), Kozhikode",2026-07-05 14:46:10+05:30
2026-07-05 15:01,54598332,69,0.923843,yessir,"Indian Institute of Management (IIM), Kozhikode",2026-07-05 14:50:51+05:30
2026-07-05 15:16,54655361,38,0.927971,a105,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 15:11:41+05:30
2026-07-05 15:47,54473285,60,0.9257,ripAXX,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 15:39:33+05:30
2026-07-05 15:47,54193643,71,0.923743,Supernova,"Indian Institute of Management (IIM), Lucknow",2026-07-05 15:37:27+05:30
2026-07-05 16:17,54869536,77,0.922814,lmao,"Delhi School of Economics (DSE), New Delhi",2026-07-05 16:08:38+05:30
2026-07-05 16:47,54463046,20,0.9295,GP,Chennai Mathematical Institute,2026-07-05 16:42:17+05:30
2026-07-05 16:47,54874303,49,0.927043,ishanvirsingh.bt24cse,"Delhi School of Economics (DSE), New Delhi",2026-07-05 16:44:46+05:30
2026-07-05 17:02,54874303,44,0.927729,ishanvirsingh.bt24cse,"Delhi School of Economics (DSE), New Delhi",2026-07-05 16:53:57+05:30
2026-07-05 17:18,54657192,14,0.930129,pgp25.manmeet,"SP Jain Institute of Management and Research (SPJIMR), Mumba",2026-07-05 17:12:29+05:30
2026-07-05 17:18,54874303,22,0.929214,ishanvirsingh.bt24cse,"Delhi School of Economics (DSE), New Delhi",2026-07-05 17:08:48+05:30
2026-07-05 17:18,54875614,47,0.927543,ruzumath,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 17:12:35+05:30
2026-07-05 17:18,54857355,65,0.925314,cgadak,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 17:07:55+05:30
2026-07-05 17:33,54463046,7,0.932357,GP,Chennai Mathematical Institute,2026-07-05 17:23:37+05:30
2026-07-05 17:33,54630122,23,0.929057,capitals,"Birla Institute of Technology & Science, Pilani Campus",2026-07-05 17:17:16+05:30
2026-07-05 17:48,54875614,37,0.9282,ruzumath,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 17:32:54+05:30
2026-07-05 18:03,54879529,25,0.928886,Thalapathy,"Indian Institute of Technology (IIT), Delhi",2026-07-05 17:48:34+05:30
2026-07-05 18:03,54875614,37,0.928314,ruzumath,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 17:59:12+05:30
2026-07-05 18:18,54857355,9,0.9313,cgadak,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 18:02:14+05:30
2026-07-05 18:18,54875614,23,0.929229,ruzumath,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 18:04:05+05:30
2026-07-05 18:18,54599581,23,0.929229,Hot chocolate,"Indian Institute of Technology (IIT), Madras",2026-07-05 18:12:44+05:30
2026-07-05 18:33,54879529,11,0.9308,Thalapathy,"Indian Institute of Technology (IIT), Delhi",2026-07-05 18:15:41+05:30
2026-07-05 18:33,54882122,21,0.9298,ddepanshu973,"Delhi School of Economics (DSE), New Delhi",2026-07-05 18:26:31+05:30
2026-07-05 18:48,54599581,24,0.929514,Hot chocolate,"Indian Institute of Technology (IIT), Madras",2026-07-05 18:34:00+05:30
2026-07-05 18:48,54305187,26,0.929257,LameX,"Indian Institute of Technology, Banaras Hindu University (II",2026-07-05 18:43:55+05:30
2026-07-05 19:04,54866743,54,0.927,22f3000817,"Indian Institute of Technology (IIT), Madras",2026-07-05 18:46:04+05:30
2026-07-05 20:04,54465701,68,0.925443,amexteam,"Madras School of Economics (MSE), Chennai",2026-07-05 19:57:51+05:30
2026-07-05 20:04,54655458,77,0.924443,test,"Indian Institute of Management (IIM), Mumbai",2026-07-05 19:46:05+05:30
2026-07-05 20:19,54786256,79,0.924157,pppap0044,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 20:05:44+05:30
2026-07-05 21:05,54162791,68,0.925643,teamdelta,"Indian Institute of Management (IIM), Mumbai",2026-07-05 20:46:14+05:30
2026-07-05 21:35,54865687,73,0.9252,ritik.chandra009,"Indian Institute of Technology (IIT), Kharagpur",2026-07-05 21:22:46+05:30
2026-07-05 22:06,54806202,11,0.930843,RSA512,"Indian Institute of Technology (IIT), Guwahati",2026-07-05 21:50:15+05:30
2026-07-05 22:06,54865687,29,0.929129,ritik.chandra009,"Indian Institute of Technology (IIT), Kharagpur",2026-07-05 21:59:37+05:30
2026-07-05 22:06,54897489,82,0.9241,singhkarnail1977,"Indian Institute of Technology (IIT), Bombay",2026-07-05 21:55:01+05:30
2026-07-05 22:21,54806202,11,0.930929,RSA512,"Indian Institute of Technology (IIT), Guwahati",2026-07-05 22:03:52+05:30
2026-07-05 22:21,54899166,72,0.9254,22f3000937,"Indian Institute of Technology (IIT), Madras",2026-07-05 22:14:05+05:30
2026-07-05 22:36,54806202,9,0.931543,RSA512,"Indian Institute of Technology (IIT), Guwahati",2026-07-05 22:23:20+05:30
2026-07-05 22:36,54899166,29,0.929157,22f3000937,"Indian Institute of Technology (IIT), Madras",2026-07-05 22:27:55+05:30
2026-07-05 22:51,54892185,24,0.929529,ankitiitk24,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 22:34:26+05:30
2026-07-05 22:51,54879367,84,0.924114,pgp41425,"Indian Institute of Management (IIM), Lucknow",2026-07-05 22:44:45+05:30
